Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1357.578812,0.351885,351877.0,156497.0
1360.9815,0.356958,350834.0,154221.0
1364.379789,0.361969,349879.0,152037.0
1367.773679,0.366044,348859.0,150178.0
1371.163169,0.371346,348185.0,148069.0
1374.54826,0.37482600000000005,347677.0,146673.0
1377.9289529999999,0.380859,347294.0,144490.0
1381.3052460000001,0.386278,346035.0,142181.0
1384.6771390000001,0.393275,345170.0,139559.0
1388.044634,0.402436,344546.0,136399.0
1391.4077300000001,0.41353599999999996,343743.0,132647.0
1394.766426,0.424687,342425.0,128789.0
1399.2378449999999,0.442226,340954.0,123160.0
1402.586276,0.456316,340115.0,118935.0
1405.930309,0.471812,339045.0,114405.0
1409.269942,0.48880500000000005,338080.0,109702.0
1412.605176,0.5062369999999999,337371.0,105165.0
1415.936011,0.522647,336880.0,101118.0
1419.262447,0.538424,336554.0,97416.0
1422.584484,0.552512,336105.0,94181.0
1425.902122,0.564759,336189.0,91585.0
1429.21536,0.57677,336352.0,89130.0
1432.524199,0.5878180000000001,336475.0,86923.0
1435.828639,0.595867,336712.0,85387.0
1439.12868,0.603379,337351.0,84082.0
1442.424322,0.6099680000000001,337832.0,82934.0
1446.811668,0.618581,338516.0,81470.0
1450.097045,0.624311,338759.0,80460.0
1453.378023,0.626897,338783.0,79988.0
1456.654602,0.632224,338668.0,78986.0
1459.926782,0.634942,338611.0,78480.0
1463.194562,0.637075,338253.0,78013.0
1466.457943,0.639885,337839.0,77415.0
1469.716926,0.641981,337189.0,76894.0
1472.971509,0.6440100000000001,336468.0,76372.0
1476.221692,0.645347,335327.0,75879.0
1479.467477,0.649116,334434.0,75023.0
1482.708863,0.65166,333251.0,74321.0
1485.945849,0.6525479999999999,332262.0,73949.0
1489.178436,0.6555840000000001,331036.0,73163.0
1493.48171,0.65961,328968.0,72035.0
1496.704032,0.661992,328109.0,71454.0
1499.9219560000001,0.661605,326803.0,71233.0
1503.1354800000001,0.6620010000000001,324580.0,70684.0
1506.344605,0.6595810000000001,322749.0,70678.0
1509.5493310000002,0.659046,320733.0,70323.0
1512.749658,0.656237,318756.0,70343.0
1515.945585,0.653281,316571.0,70338.0
1519.137114,0.652179,314633.0,70085.0
1522.324243,0.649162,312294.0,70049.0
1525.506973,0.647997,310226.0,69772.0
1528.6853039999999,0.644926,308000.0,69763.0
1531.859236,0.642403,305176.0,69526.0
1535.028769,0.637418,302513.0,69715.0
1539.247969,0.6331829999999999,299002.0,69581.0
1542.407237,0.630009,296052.0,69400.0
1545.562106,0.626689,292968.0,69204.0
1548.712576,0.6252449999999999,289865.0,68699.0
